episode,timestep,episode_reward,episode_length
707,217880,817.1862,322
708,219330,751.6413,340
709,221000,987.6169,335
710,221360,-2380.5486,1000
711,221760,-111.4958,1000
712,221780,194.7077,78
713,222530,1375.2958,509
714,222620,-4102.5358,1000
715,223400,-732.2037,1000
716,225070,487.3807,167
717,225120,620.0626,259
718,225660,1162.0980,390
719,225880,252.9793,76
720,225990,2477.1385,920
721,226000,1214.1201,464
722,226230,-3743.1324,1000
723,226600,108.0808,37
724,226750,25.9630,15
725,227050,102.3016,30
726,227880,-1560.3651,1000
727,228610,1745.5382,599
728,229220,858.3767,322
729,229330,-3731.4943,1000
730,229540,631.0926,249
731,231780,-4310.5043,1000
732,232050,706.7237,272
733,232330,2016.1737,667
734,233300,1531.9387,542
735,234220,276.5764,92
736,234680,655.0085,263
737,235070,-3906.3425,1000
738,235880,-2700.3089,1000
739,235990,-4375.8833,1000
740,236440,371.6426,137
741,238610,-3032.1823,1000
742,239220,-1379.7771,1000
743,239540,-4348.8069,1000
744,239900,2019.2809,757
745,240010,945.1544,402
746,240110,1126.8294,423
747,240170,430.5717,156
748,240490,115.6078,38
749,240530,875.2456,409
750,241050,332.6994,104
751,241780,334.6223,1000
752,242370,1752.9101,769
753,244220,-3789.3083,1000
754,245370,1325.7690,484
755,245510,395.6685,129
756,245730,1155.1980,395
757,245760,105.9095,39
758,245830,39.8858,10
759,247260,1937.3804,621
760,247640,642.0565,213
761,249220,805.9896,1000
762,249540,-3919.9206,1000
763,249900,2762.9352,1000
764,250170,-4268.2392,1000
765,250280,2315.3742,791
766,250490,-2784.6738,1000
767,254160,1274.1198,462
768,255760,-3404.6892,1000
769,255830,-4504.2953,1000
770,257260,-3682.2664,1000
771,257640,-2697.2819,1000
772,259220,-4288.4461,1000
773,259900,-2902.1790,1000
774,260170,-2979.7871,1000
775,260280,-2634.3365,1000
776,260490,-4514.1658,1000
777,261400,1352.1021,414
778,263290,1129.9797,339
779,264160,-2868.0614,1000
780,265760,-2837.8746,1000
781,265830,-4066.7397,1000
782,266890,263.6228,113
783,267640,-3888.5015,1000
784,267810,279.6650,92
785,267920,77.3430,28
786,268670,189.1692,75
787,269120,1861.7820,583
788,269220,2457.4986,1000
789,269290,52.9366,17
790,269520,1224.5792,369
791,270170,-4667.0659,1000
792,270200,347.0999,98
793,270280,-2231.2104,1000
