timestep,command,reward
631,forward,4.106631
632,forward,4.465325
633,forward,3.278728
634,forward,4.125978
635,forward,2.967079
636,forward,5.007321
637,forward,4.480691
638,forward,4.560939
639,forward,4.565075
640,forward,3.553419
641,forward,4.639674
642,forward,3.491254
643,forward,4.512756
644,forward,5.160194
645,forward,4.133519
646,forward,3.163384
647,forward,3.630242
648,forward,4.878167
649,forward,4.088028
650,forward,4.297668
651,forward,5.227525
652,forward,4.134800
653,forward,4.622313
654,forward,3.948241
655,forward,5.005278
656,forward,3.562775
657,forward,5.205019
658,forward,4.345467
659,forward,4.964712
660,forward,4.659161
661,forward,4.622335
662,forward,4.059182
663,forward,3.040814
664,forward,5.119679
665,forward,4.083808
666,forward,4.408744
667,forward,4.823022
668,forward,4.534252
669,forward,4.585710
670,forward,3.862142
671,forward,4.897066
672,forward,4.189045
673,forward,3.071619
674,forward,4.431796
675,forward,2.886375
676,forward,5.244524
677,forward,4.805751
678,forward,4.744336
679,forward,4.944463
680,stand,-1.409559
681,stand,-6.369760
682,stand,-1.394740
683,stand,0.634465
684,stand,2.804828
685,stand,3.411258
686,stand,3.318991
687,stand,3.624154
688,stand,3.630984
689,stand,3.641509
690,stand,3.619867
691,stand,3.646143
692,stand,3.637023
693,stand,3.653128
694,stand,3.613714
695,stand,3.666502
696,stand,3.697194
697,stand,3.695939
698,stand,3.695586
699,stand,3.695584
700,stand,3.695591
701,stand,3.695591
702,stand,3.695591
703,stand,3.695591
704,stand,3.695591
705,stand,3.695591
706,stand,3.695591
707,stand,3.695591
708,stand,3.695591
709,stand,3.695591
710,left,4.974739
711,left,2.773532
712,left,5.128016
713,left,-0.281795
714,left,3.866815
715,left,0.124860
716,left,4.972495
717,left,5.387452
718,left,5.328991
719,left,5.321314
720,left,5.264847
721,left,5.122198
722,left,5.140495
723,left,5.271499
724,left,5.235286
725,left,5.200875
726,left,5.390932
727,left,4.961848
728,left,5.301935
729,left,5.255595
730,left,5.321401
731,left,5.445416
732,left,5.420747
733,left,5.318116
734,left,5.373774
735,left,5.415389
736,left,5.393485
737,left,5.414853
738,left,5.340197
739,left,5.296947
740,forward,0.203773
741,forward,-0.374746
742,forward,-0.208044
743,forward,0.298525
744,forward,2.983991
745,forward,3.295074
746,forward,2.560450
747,forward,2.232442
748,forward,1.677677
749,forward,1.919402
750,forward,2.524550
751,forward,2.254395
752,forward,4.808354
753,forward,4.486410
754,forward,4.103973
755,forward,3.771327
756,forward,4.355595
757,forward,2.907255
758,forward,3.801671
759,forward,3.778378
760,forward,3.046021
761,forward,4.036842
762,forward,5.114702
763,forward,4.173815
764,forward,4.409734
765,forward,3.328067
766,forward,4.553391
767,forward,3.452082
768,forward,4.014058
769,forward,5.167922
770,forward,4.782645
771,forward,4.106814
772,forward,4.278425
773,forward,4.127044
774,forward,4.904464
775,forward,3.770278
776,forward,4.421097
777,forward,5.263687
778,forward,4.465358
779,forward,4.151615
780,forward,3.622587
781,forward,4.976042
782,forward,4.556179
783,forward,3.946694
784,forward,5.328801
785,forward,4.779486
786,forward,4.790591
787,forward,4.401111
788,forward,4.887919
789,forward,3.605220
